1792	3327	256	1895	3294	553
2048	3327	256	2119	3296	553
2303	3327	256	2347	3300	558
2559	3327	256	2579	3304	563
2815	3327	256	2814	3308	563
3071	3327	256	3051	3313	568
3327	3327	256	3289	3318	572
3583	3327	256	3529	3324	582
3839	3327	256	3770	3330	587
4095	3327	256	4011	3337	591
0	3583	256	949	3538	577
256	3583	256	972	3538	577
512	3583	256	1045	3538	577
768	3583	256	1168	3539	577
1024	3583	256	1327	3540	577
1280	3583	256	1510	3541	582
1536	3583	256	1710	3544	582
1792	3583	256	1924	3546	582
2048	3583	256	2144	3548	587
2303	3583	256	2369	3551	591
2559	3583	256	2598	3555	591
2815	3583	256	2831	3559	596
3071	3583	256	3066	3563	601
3327	3583	256	3304	3568	605
3583	3583	256	3543	3573	610
3839	3583	256	3782	3579	618
4095	3583	256	4022	3585	623
0	3839	256	1017	3791	610
256	3839	256	1036	3791	610
512	3839	256	1106	3791	610
768	3839	256	1221	3792	610
1024	3839	256	1373	3793	614
1280	3839	256	1550	3794	614
1536	3839	256	1745	3796	614
1792	3839	256	1953	3798	618
2048	3839	256	2170	3800	618
2303	3839	256	2392	3803	623
2559	3839	256	2619	3806	627
2815	3839	256	2850	3810	631
3071	3839	256	3084	3814	636
3327	3839	256	3319	3818	640
3583	3839	256	3557	3823	644
3839	3839	256	3796	3829	648
4095	3839	256	4035	3834	657
0	4095	256	1084	4043	644
256	4095	256	1102	4044	644
512	4095	256	1168	4044	644
768	4095	256	1276	4045	648
1024	4095	256	1421	4046	648
1280	4095	256	1592	4046	648
1536	4095	256	1781	4048	648
1792	4095	256	1984	4050	652
2048	4095	256	2198	4052	657
2303	4095	256	2417	4055	657
2559	4095	256	2642	4058	661
2815	4095	256	2870	4061	665
3071	4095	256	3102	4065	669
3327	4095	256	3336	4069	673
3583	4095	256	3573	4074	677
3839	4095	256	3810	4079	681
4095	4095	256	4048	4084	688
0	0	512	93	0	505
256	0	512	266	0	511
512	0	512	499	93	511
768	0	512	744	128	511
1024	0	512	990	175	511
1280	0	512	1235	226	511
1536	0	512	1481	266	516
1792	0	512	1729	320	516
2048	0	512	1975	356	522
2303	0	512	2220	403	522
2559	0	512	2466	451	527
2815	0	512	2713	494	532
3071	0	512	2959	537	537
3327	0	512	3206	582	543
3583	0	512	3453	627	548
3839	0	512	3700	673	558
4095	0	512	3946	715	563
0	256	512	128	254	511
256	256	512	266	254	511
512	256	512	499	266	511
768	256	512	747	278	511
1024	256	512	990	300	511
1280	256	512	1237	329	511
1536	256	512	1482	356	516
1792	256	512	1729	388	516
2048	256	512	1975	425	522
2303	256	512	2220	464	527
2559	256	512	2467	505	527
2815	256	512	2713	543	532
3071	256	512	2960	582	537
3327	256	512	3207	623	543
3583	256	512	3453	665	548
3839	256	512	3700	707	558
4095	256	512	3946	747	563
0	512	512	154	505	511
256	512	512	289	511	511
512	512	512	511	511	511
768	512	512	751	522	511
1024	512	512	995	532	516
1280	512	512	1239	543	516
1536	512	512	1486	563	516
1792	512	512	1731	582	522
2048	512	512	1977	605	522
2303	512	512	2222	627	527
2559	512	512	2469	657	532
2815	512	512	2715	684	537
3071	512	512	2961	715	543
3327	512	512	3208	747	548
3583	512	512	3454	781	553
3839	512	512	3701	817	558
4095	512	512	3947	851	568
0	768	512	226	758	516
256	768	512	320	761	516
512	768	512	532	761	516
768	768	512	764	768	516
1024	768	512	1002	775	522
1280	768	512	1246	781	522
1536	768	512	1490	794	522
1792	768	512	1735	807	527
2048	768	512	1980	823	527
2303	768	512	2225	838	532
2559	768	512	2471	859	537
2815	768	512	2717	880	543
3071	768	512	2963	903	548
3327	768	512	3210	927	553
3583	768	512	3456	954	558
3839	768	512	3702	982	563
4095	768	512	3949	1012	568
0	1024	512	278	1012	522
256	1024	512	365	1012	522
512	1024	512	553	1014	527
768	1024	512	778	1017	527
1024	1024	512	1014	1021	527
1280	1024	512	1256	1029	527
1536	1024	512	1498	1036	532
1792	1024	512	1741	1045	532
2048	1024	512	1986	1057	537
2303	1024	512	2230	1071	537
2559	1024	512	2475	1084	543
2815	1024	512	2721	1102	548
3071	1024	512	2967	1119	553
3327	1024	512	3213	1138	558
3583	1024	512	3459	1159	563
3839	1024	512	3705	1180	568
4095	1024	512	3951	1204	577
0	1280	512	347	1265	532
256	1280	512	418	1265	532
512	1280	512	587	1267	532
768	1280	512	801	1269	537
1024	1280	512	1031	1273	537
1280	1280	512	1267	1276	537
1536	1280	512	1507	1284	537
1792	1280	512	1750	1291	543
2048	1280	512	1993	1300	548
2303	1280	512	2236	1309	548
2559	1280	512	2480	1321	553
2815	1280	512	2725	1334	558
3071	1280	512	2971	1347	563
3327	1280	512	3216	1363	568
3583	1280	512	3462	1380	572
3839	1280	512	3708	1398	577
4095	1280	512	3954	1418	587
0	1536	512	411	1517	548
256	1536	512	470	1517	548
512	1536	512	623	1519	548
768	1536	512	826	1520	548
1024	1536	512	1050	1523	548
1280	1536	512	1284	1528	548
1536	1536	512	1520	1532	553
1792	1536	512	1760	1538	553
2048	1536	512	2002	1545	558
2303	1536	512	2244	1554	563
2559	1536	512	2488	1563	563
2815	1536	512	2732	1573	568
3071	1536	512	2977	1586	572
3327	1536	512	3222	1599	577
3583	1536	512	3467	1611	582
3839	1536	512	3712	1626	591
4095	1536	512	3958	1643	596
0	1792	512	482	1770	558
256	1792	512	527	1770	558
512	1792	512	669	1771	563
768	1792	512	859	1773	563
1024	1792	512	1075	1775	563
